gene_id	gene_name	class	Huisinga_class
YHR018C	ARG4	CR	SAGA-dominated
YOR052C	TMC1	CR	SAGA-dominated
YGR157W	CHO2	CR	TFIID-dominated
YGR148C	RPL24B	TFIID	TFIID-dominated
YOR167C	RPS28A	TFIID	TFIID-dominated
YML130C	ERO1	CR	TFIID-dominated
YDR258C	HSP78	TFIID	SAGA-dominated
YMR307W	GAS1	CR	
YLR286C	CTS1	CR	SAGA-dominated
YHL033C	RPL8A	TFIID	TFIID-dominated
YHR072W-A	NOP10	TFIID	
YDR418W	RPL12B	TFIID	TFIID-dominated
YHR005C-A	TIM10	TFIID	
YFL039C	ACT1	TFIID	TFIID-dominated
YDR513W	GRX2	CR	SAGA-dominated
YDL192W	ARF1	TFIID	TFIID-dominated
YER145C	FTR1	CR	TFIID-dominated
YGL089C	MF(ALPHA)2	CR	SAGA/TFIID
YDR037W	KRS1	CR	TFIID-dominated
YDR132C	YDR132C	CR	SAGA-dominated
YDL147W	RPN5	TFIID	TFIID-dominated
YLR333C	RPS25B	TFIID	TFIID-dominated
YOR198C	BFR1	TFIID	TFIID-dominated
YPR145W	ASN1	CR	SAGA-dominated
YGR211W	ZPR1	TFIID	TFIID-dominated
YER052C	HOM3	CR	SAGA-dominated
YLR197W	NOP56	TFIID	TFIID-dominated
YPR080W	TEF1	CR	TFIID-dominated
YKR042W	UTH1	CR	TFIID-dominated
YML123C	PHO84	CR	SAGA/TFIID
YER124C	DSE1	CR	SAGA-dominated
YBR118W	TEF2	CR	SAGA-dominated
YOL040C	RPS15	TFIID	TFIID-dominated
YLR293C	GSP1	TFIID	TFIID-dominated
YEL027W	VMA3	TFIID	TFIID-dominated
YLR304C	ACO1	CR	SAGA-dominated
YGR282C	BGL2	TFIID	TFIID-dominated
YDL229W	SSB1	TFIID	no call
YKL216W	URA1	CR	TFIID-dominated
YDR099W	BMH2	TFIID	TFIID-dominated
YBR025C	OLA1	TFIID	TFIID-dominated
YGR169C-A	LSO2	TFIID	
YKL068W-A	YKL068W-A	CR	
YPL237W	SUI3	TFIID	TFIID-dominated
YDR002W	YRB1	TFIID	TFIID-dominated
YDL182W	LYS20	CR	SAGA-dominated
YGL031C	RPL24A	TFIID	TFIID-dominated
YMR309C	NIP1	TFIID	TFIID-dominated
YLL060C	GTT2	CR	TFIID-dominated
YDR086C	SSS1	TFIID	SAGA-dominated
YDR276C	PMP3	CR	SAGA-dominated
YDR533C	HSP31	CR	SAGA-dominated
YDR497C	ITR1	CR	TFIID-dominated
YLL045C	RPL8B	TFIID	TFIID-dominated
YLR214W	FRE1	CR	TFIID-dominated
YDR155C	CPR1	CR	SAGA-dominated
YDR171W	HSP42	CR	SAGA-dominated
YLR150W	STM1	TFIID	TFIID-dominated
YOR007C	SGT2	TFIID	TFIID-dominated
YDR363W-A	SEM1	TFIID	
YDL232W	OST4	TFIID	TFIID-dominated
YGL054C	ERV14	TFIID	TFIID-dominated
YNL209W	SSB2	TFIID	TFIID-dominated
YNL067W	RPL9B	TFIID	TFIID-dominated
YOR136W	IDH2	CR	SAGA-dominated
YNL036W	NCE103	CR	SAGA-dominated
YJR007W	SUI2	TFIID	TFIID-dominated
YPL037C	EGD1	TFIID	TFIID-dominated
YIL138C	TPM2	TFIID	TFIID-dominated
YOL139C	CDC33	TFIID	TFIID-dominated
YPR165W	RHO1	TFIID	TFIID-dominated
YBR143C	SUP45	TFIID	TFIID-dominated
YDR345C	HXT3	CR	SAGA-dominated
YPR035W	GLN1	CR	SAGA-dominated
YNL281W	HCH1	TFIID	TFIID-dominated
YER165W	PAB1	TFIID	TFIID-dominated
YNL244C	SUI1	TFIID	TFIID-dominated
YDL084W	SUB2	TFIID	TFIID-dominated
YMR038C	CCS1	CR	TFIID-dominated
YNL069C	RPL16B	TFIID	TFIID-dominated
YBR082C	UBC4	TFIID	TFIID-dominated
YBR079C	RPG1	TFIID	TFIID-dominated
YOR226C	ISU2	CR	SAGA-dominated
YLR043C	TRX1	TFIID	TFIID-dominated
YPL091W	GLR1	CR	TFIID-dominated
YOR383C	FIT3	CR	TFIID-dominated
YMR260C	TIF11	TFIID	TFIID-dominated
YGL135W	RPL1B	TFIID	TFIID-dominated
YOR344C	TYE7	CR	SAGA-dominated
YJR109C	CPA2	CR	SAGA-dominated
YKL172W	EBP2	TFIID	TFIID-dominated
YGR240C	PFK1	CR	SAGA-dominated
YNL255C	GIS2	TFIID	TFIID-dominated
YPR158W	CUR1	TFIID	TFIID-dominated
YBR189W	RPS9B	TFIID	TFIID-dominated
YPL225W	YPL225W	TFIID	TFIID-dominated
YNL327W	EGT2	CR	SAGA-dominated
YGR085C	RPL11B	TFIID	TFIID-dominated
YKL182W	FAS1	CR	SAGA/TFIID
YAL035W	FUN12	TFIID	TFIID-dominated
YHR008C	SOD2	CR	SAGA-dominated
YER036C	ARB1	TFIID	TFIID-dominated
YLR346C	YLR346C	CR	SAGA-dominated
YBR085C-A	YBR085C-A	CR	
YLR300W	EXG1	CR	SAGA-dominated
YER048W-A	ISD11	TFIID	
YOR096W	RPS7A	TFIID	SAGA/TFIID
YMR116C	ASC1	TFIID	SAGA/TFIID
YOR210W	RPB10	TFIID	TFIID-dominated
YPL231W	FAS2	CR	TFIID-dominated
YDR194C	MSS116	TFIID	TFIID-dominated
YKL043W	PHD1	CR	SAGA-dominated
YDL168W	SFA1	CR	TFIID-dominated
YML091C	RPM2	CR	SAGA-dominated
YER021W	RPN3	TFIID	TFIID-dominated
YNL079C	TPM1	TFIID	TFIID-dominated
YGL028C	SCW11	CR	SAGA-dominated
YCL050C	APA1	TFIID	TFIID-dominated
YOR204W	DED1	CR	TFIID-dominated
YPL135W	ISU1	CR	SAGA-dominated
YNL131W	TOM22	TFIID	TFIID-dominated
YML106W	URA5	TFIID	TFIID-dominated
YHR193C	EGD2	TFIID	TFIID-dominated
YOL127W	RPL25	TFIID	TFIID-dominated
YLR372W	ELO3	TFIID	TFIID-dominated
YOR382W	FIT2	CR	TFIID-dominated
YGR118W	RPS23A	TFIID	TFIID-dominated
YKL164C	PIR1	CR	SAGA-dominated
YLR048W	RPS0B	TFIID	TFIID-dominated
YHR082C	KSP1	TFIID	TFIID-dominated
YLR175W	CBF5	TFIID	TFIID-dominated
YGR254W	ENO1	CR	SAGA-dominated
YGR159C	NSR1	TFIID	TFIID-dominated
YCR021C	HSP30	CR	SAGA-dominated
YEL040W	UTR2	CR	SAGA-dominated
YKL082C	RRP14	TFIID	TFIID-dominated
YBR109C	CMD1	TFIID	TFIID-dominated
YNL287W	SEC21	TFIID	TFIID-dominated
YML058W	SML1	CR	TFIID-dominated
YDR071C	PAA1	TFIID	TFIID-dominated
YER025W	GCD11	TFIID	TFIID-dominated
YDL243C	AAD4	CR	TFIID-dominated
YLR136C	TIS11	CR	TFIID-dominated
YBR011C	IPP1	TFIID	TFIID-dominated
YEL026W	SNU13	TFIID	TFIID-dominated
YNL121C	TOM70	TFIID	TFIID-dominated
YDL126C	CDC48	TFIID	TFIID-dominated
YPR132W	RPS23B	TFIID	TFIID-dominated
YBR162C	TOS1	CR	TFIID-dominated
YLR180W	SAM1	CR	TFIID-dominated
YPR133W-A	TOM5	TFIID	
YJL148W	RPA34	TFIID	TFIID-dominated
YGR264C	MES1	TFIID	TFIID-dominated
YJL124C	LSM1	TFIID	TFIID-dominated
YBL076C	ILS1	TFIID	TFIID-dominated
YLL028W	TPO1	CR	SAGA-dominated
YER148W	SPT15	TFIID	TFIID-dominated
YHR143W-A	RPC10	TFIID	TFIID-dominated
YIL078W	THS1	TFIID	TFIID-dominated
YKL040C	NFU1	CR	TFIID-dominated
YKL180W	RPL17A	TFIID	TFIID-dominated
YGL058W	RAD6	TFIID	TFIID-dominated
YJL111W	CCT7	TFIID	TFIID-dominated
YGR086C	PIL1	CR	SAGA-dominated
YMR108W	ILV2	TFIID	TFIID-dominated
YPR102C	RPL11A	TFIID	TFIID-dominated
YDL014W	NOP1	TFIID	TFIID-dominated
YHR027C	RPN1	TFIID	TFIID-dominated
YOR312C	RPL20B	TFIID	TFIID-dominated
YOR261C	RPN8	TFIID	TFIID-dominated
YIL075C	RPN2	TFIID	TFIID-dominated
YLR388W	RPS29A	TFIID	TFIID-dominated
YLR342W	FKS1	CR	TFIID-dominated
YPL145C	KES1	TFIID	TFIID-dominated
YGL147C	RPL9A	TFIID	TFIID-dominated
YDR427W	RPN9	TFIID	TFIID-dominated
YCL031C	RRP7	TFIID	TFIID-dominated
YMR205C	PFK2	CR	SAGA-dominated
YOR276W	CAF20	TFIID	TFIID-dominated
YNR051C	BRE5	TFIID	TFIID-dominated
YDL185W	VMA1	TFIID	TFIID-dominated
YIL142W	CCT2	TFIID	TFIID-dominated
YFR033C	QCR6	CR	SAGA-dominated
YGL030W	RPL30	TFIID	TFIID-dominated
YMR012W	CLU1	TFIID	TFIID-dominated
YPR108W	RPN7	TFIID	TFIID-dominated
YBR067C	TIP1	TFIID	TFIID-dominated
YBR158W	AMN1	CR	SAGA-dominated
YBL028C	YBL028C	TFIID	TFIID-dominated
YDL208W	NHP2	TFIID	TFIID-dominated
YER102W	RPS8B	TFIID	TFIID-dominated
YKL156W	RPS27A	TFIID	TFIID-dominated
YPL274W	SAM3	CR	SAGA-dominated
YNL180C	RHO5	CR	TFIID-dominated
YOR122C	PFY1	TFIID	TFIID-dominated
YPL004C	LSP1	CR	SAGA-dominated
YOR310C	NOP58	TFIID	TFIID-dominated
YDL130W	RPP1B	TFIID	TFIID-dominated
YMR122W-A	YMR122W-A	CR	
YOR303W	CPA1	CR	SAGA-dominated
YOR270C	VPH1	TFIID	TFIID-dominated
YGL215W	CLG1	TFIID	TFIID-dominated
YGL105W	ARC1	TFIID	TFIID-dominated
YLR421C	RPN13	TFIID	TFIID-dominated
YDR233C	RTN1	TFIID	TFIID-dominated
YDR054C	CDC34	TFIID	TFIID-dominated
YPR074C	TKL1	TFIID	TFIID-dominated
YKL071W	YKL071W	CR	SAGA/TFIID
YDR023W	SES1	TFIID	TFIID-dominated
YER064C	VHR2	CR	SAGA-dominated
YKR076W	ECM4	CR	SAGA-dominated
YML026C	RPS18B	TFIID	TFIID-dominated
YCR093W	CDC39	TFIID	TFIID-dominated
