gene_id	gene_name	class	Huisinga_class
YGL029W	CGR1	TFIID	TFIID-dominated
YFR040W	SAP155	TFIID	TFIID-dominated
YNL248C	RPA49	TFIID	TFIID-dominated
YDL007W	RPT2	TFIID	TFIID-dominated
YML024W	RPS17A	TFIID	TFIID-dominated
YOL027C	MDM38	TFIID	TFIID-dominated
YBL024W	NCL1	TFIID	TFIID-dominated
YER103W	SSA4	TFIID	SAGA-dominated
YIL126W	STH1	TFIID	TFIID-dominated
YPL050C	MNN9	TFIID	TFIID-dominated
YOR259C	RPT4	TFIID	TFIID-dominated
YDR174W	HMO1	TFIID	TFIID-dominated
YMR188C	MRPS17	TFIID	TFIID-dominated
YOL145C	CTR9	TFIID	TFIID-dominated
YDR299W	BFR2	TFIID	TFIID-dominated
YGR020C	VMA7	TFIID	TFIID-dominated
YPR072W	NOT5	TFIID	TFIID-dominated
YDR212W	TCP1	TFIID	TFIID-dominated
YKL054C	DEF1	CR	TFIID-dominated
YLR292C	SEC72	TFIID	TFIID-dominated
YPL179W	PPQ1	TFIID	TFIID-dominated
YMR217W	GUA1	TFIID	TFIID-dominated
YIL035C	CKA1	TFIID	TFIID-dominated
YDR381W	YRA1	CR	SAGA/TFIID
YHR128W	FUR1	CR	TFIID-dominated
YMR146C	TIF34	TFIID	TFIID-dominated
YPL190C	NAB3	TFIID	TFIID-dominated
YJL014W	CCT3	TFIID	TFIID-dominated
YKR052C	MRS4	CR	TFIID-dominated
YML103C	NUP188	TFIID	TFIID-dominated
YPR143W	RRP15	TFIID	TFIID-dominated
YMR246W	FAA4	CR	TFIID-dominated
YNL197C	WHI3	TFIID	TFIID-dominated
YKL035W	UGP1	CR	SAGA-dominated
YPL202C	AFT2	CR	TFIID-dominated
YOR089C	VPS21	TFIID	TFIID-dominated
YOL077C	BRX1	TFIID	TFIID-dominated
YBR286W	APE3	CR	SAGA-dominated
YJL130C	URA2	CR	SAGA-dominated
YGR103W	NOP7	TFIID	TFIID-dominated
YER126C	NSA2	TFIID	TFIID-dominated
YDR450W	RPS18A	TFIID	TFIID-dominated
YMR183C	SSO2	TFIID	TFIID-dominated
YKR014C	YPT52	TFIID	TFIID-dominated
YHR196W	UTP9	TFIID	TFIID-dominated
YGR229C	SMI1	TFIID	TFIID-dominated
YOL049W	GSH2	TFIID	TFIID-dominated
YML074C	FPR3	TFIID	TFIID-dominated
YIL118W	RHO3	TFIID	TFIID-dominated
YMR131C	RRB1	TFIID	TFIID-dominated
YNL061W	NOP2	TFIID	TFIID-dominated
YBR177C	EHT1	CR	TFIID-dominated
YJL002C	OST1	TFIID	TFIID-dominated
YDR377W	ATP17	TFIID	TFIID-dominated
YFL037W	TUB2	TFIID	TFIID-dominated
YPL171C	OYE3	CR	TFIID-dominated
YGL238W	CSE1	TFIID	TFIID-dominated
YPL178W	CBC2	TFIID	TFIID-dominated
YDL148C	NOP14	TFIID	TFIID-dominated
YIL038C	NOT3	TFIID	TFIID-dominated
YJL008C	CCT8	TFIID	TFIID-dominated
YOR043W	WHI2	TFIID	TFIID-dominated
YHR094C	HXT1	CR	SAGA-dominated
YGR185C	TYS1	TFIID	TFIID-dominated
YDR190C	RVB1	TFIID	TFIID-dominated
YML022W	APT1	TFIID	TFIID-dominated
YJL177W	RPL17B	TFIID	TFIID-dominated
YHR141C	RPL42B	TFIID	TFIID-dominated
YBR084C-A	RPL19A	TFIID	TFIID-dominated
YBL022C	PIM1	TFIID	no call
YDR508C	GNP1	CR	TFIID-dominated
YGR017W	YGR017W	TFIID	TFIID-dominated
YFR010W	UBP6	TFIID	TFIID-dominated
YDR264C	AKR1	TFIID	TFIID-dominated
YFL038C	YPT1	TFIID	TFIID-dominated
YGL077C	HNM1	CR	TFIID-dominated
YHL011C	PRS3	TFIID	TFIID-dominated
YPL273W	SAM4	TFIID	TFIID-dominated
YKL063C	YKL063C	TFIID	TFIID-dominated
YBR130C	SHE3	TFIID	TFIID-dominated
YGR132C	PHB1	TFIID	TFIID-dominated
YHR170W	NMD3	TFIID	TFIID-dominated
YBR049C	REB1	TFIID	TFIID-dominated
YDR395W	SXM1	TFIID	TFIID-dominated
YGR090W	UTP22	TFIID	TFIID-dominated
YOR078W	BUD21	TFIID	TFIID-dominated
YER136W	GDI1	TFIID	TFIID-dominated
YDL180W	YDL180W	CR	TFIID-dominated
YPR169W	JIP5	TFIID	TFIID-dominated
YLR033W	RSC58	TFIID	TFIID-dominated
YPR043W	RPL43A	TFIID	TFIID-dominated
YOL041C	NOP12	TFIID	TFIID-dominated
YIL018W	RPL2B	TFIID	TFIID-dominated
YMR194W	RPL36A	TFIID	TFIID-dominated
YKR028W	SAP190	TFIID	TFIID-dominated
YDR032C	PST2	CR	TFIID-dominated
YPL118W	MRP51	TFIID	TFIID-dominated
YDL083C	RPS16B	TFIID	TFIID-dominated
YBR146W	MRPS9	TFIID	TFIID-dominated
YKL028W	TFA1	TFIID	TFIID-dominated
YDR028C	REG1	TFIID	TFIID-dominated
YKL006W	RPL14A	TFIID	TFIID-dominated
YKL179C	COY1	TFIID	TFIID-dominated
YGR054W	YGR054W	TFIID	TFIID-dominated
YJL080C	SCP160	TFIID	TFIID-dominated
YOR290C	SNF2	TFIID	TFIID-dominated
YER056C	FCY2	CR	SAGA-dominated
YPL079W	RPL21B	TFIID	TFIID-dominated
YPL265W	DIP5	CR	SAGA-dominated
YDL025C	RTK1	CR	TFIID-dominated
YGL009C	LEU1	TFIID	TFIID-dominated
YHR135C	YCK1	TFIID	TFIID-dominated
YER074W	RPS24A	TFIID	TFIID-dominated
YKR081C	RPF2	TFIID	TFIID-dominated
YGR106C	VOA1	TFIID	TFIID-dominated
YGL245W	GUS1	TFIID	TFIID-dominated
YGR161C	RTS3	CR	SAGA-dominated
YDL125C	HNT1	CR	TFIID-dominated
YDL122W	UBP1	TFIID	TFIID-dominated
YJL136C	RPS21B	TFIID	TFIID-dominated
YKR011C	YKR011C	TFIID	TFIID-dominated
YDL053C	PBP4	TFIID	TFIID-dominated
YCL054W	SPB1	TFIID	TFIID-dominated
YCL011C	GBP2	TFIID	TFIID-dominated
YDR127W	ARO1	CR	TFIID-dominated
YIL149C	MLP2	TFIID	TFIID-dominated
YFR002W	NIC96	TFIID	TFIID-dominated
YJL133C-A	YJL133C-A	CR	
YPL012W	RRP12	TFIID	TFIID-dominated
YGR146C	ECL1	CR	no call
YPL215W	CBP3	TFIID	TFIID-dominated
YML009C	MRPL39	TFIID	TFIID-dominated
YGR128C	UTP8	TFIID	TFIID-dominated
YOL068C	HST1	TFIID	TFIID-dominated
YPR016C	TIF6	TFIID	TFIID-dominated
YGR231C	PHB2	TFIID	TFIID-dominated
YER123W	YCK3	TFIID	TFIID-dominated
YDR226W	ADK1	CR	TFIID-dominated
YPR010C	RPA135	TFIID	TFIID-dominated
YGR130C	YGR130C	TFIID	SAGA-dominated
YEL051W	VMA8	TFIID	TFIID-dominated
YCR004C	YCP4	TFIID	TFIID-dominated
YMR295C	YMR295C	TFIID	TFIID-dominated
YNL044W	YIP3	TFIID	TFIID-dominated
YML093W	UTP14	TFIID	TFIID-dominated
YDR152W	GIR2	TFIID	TFIID-dominated
YDR153C	ENT5	TFIID	TFIID-dominated
YLR297W	YLR297W	CR	SAGA-dominated
YPL146C	NOP53	TFIID	TFIID-dominated
YNL005C	MRP7	TFIID	TFIID-dominated
YPL105C	SYH1	TFIID	TFIID-dominated
YNR021W	YNR021W	TFIID	TFIID-dominated
YPL019C	VTC3	CR	TFIID-dominated
YJR014W	TMA22	TFIID	TFIID-dominated
YHR005C	GPA1	TFIID	SAGA-dominated
YBR162W-A	YSY6	TFIID	TFIID-dominated
YML056C	IMD4	TFIID	TFIID-dominated
YKL145W	RPT1	TFIID	TFIID-dominated
YHR203C	RPS4B	TFIID	TFIID-dominated
YGL244W	RTF1	TFIID	TFIID-dominated
YDL116W	NUP84	TFIID	TFIID-dominated
YDL143W	CCT4	TFIID	TFIID-dominated
YMR203W	TOM40	TFIID	TFIID-dominated
YLR310C	CDC25	TFIID	TFIID-dominated
YOR008C	SLG1	TFIID	TFIID-dominated
YKL120W	OAC1	CR	TFIID-dominated
YDR335W	MSN5	TFIID	TFIID-dominated
YHR077C	NMD2	TFIID	TFIID-dominated
YGR267C	FOL2	TFIID	TFIID-dominated
YEL033W	MTC7	CR	TFIID-dominated
YPR067W	ISA2	TFIID	TFIID-dominated
YBR086C	IST2	TFIID	TFIID-dominated
YGR175C	ERG1	CR	TFIID-dominated
YGL043W	DST1	TFIID	TFIID-dominated
YGL078C	DBP3	TFIID	TFIID-dominated
YJL168C	SET2	TFIID	TFIID-dominated
YMR037C	MSN2	CR	TFIID-dominated
YLR221C	RSA3	TFIID	TFIID-dominated
YML038C	YMD8	TFIID	TFIID-dominated
YOR224C	RPB8	TFIID	TFIID-dominated
YNL091W	NST1	TFIID	TFIID-dominated
YGR167W	CLC1	TFIID	TFIID-dominated
YGL188C-A	YGL188C-A	TFIID	
YFR050C	PRE4	TFIID	TFIID-dominated
YKL104C	GFA1	TFIID	TFIID-dominated
YDR062W	LCB2	TFIID	TFIID-dominated
YOR247W	SRL1	CR	TFIID-dominated
YML081C-A	ATP18	TFIID	
YCR033W	SNT1	TFIID	TFIID-dominated
YJL012C	VTC4	CR	TFIID-dominated
YKL080W	VMA5	TFIID	TFIID-dominated
YOR326W	MYO2	TFIID	TFIID-dominated
YCR082W	AHC2	TFIID	TFIID-dominated
YLR432W	IMD3	CR	TFIID-dominated
YMR173W	DDR48	CR	SAGA-dominated
YBR029C	CDS1	TFIID	TFIID-dominated
YPL090C	RPS6A	TFIID	TFIID-dominated
YBR199W	KTR4	TFIID	TFIID-dominated
YER006W	NUG1	TFIID	TFIID-dominated
YDL067C	COX9	TFIID	TFIID-dominated
YDR280W	RRP45	TFIID	TFIID-dominated
YHR190W	ERG9	CR	TFIID-dominated
YBL030C	PET9	CR	SAGA-dominated
YOR209C	NPT1	TFIID	TFIID-dominated
YMR015C	ERG5	CR	TFIID-dominated
YLL029W	FRA1	TFIID	TFIID-dominated
YPR137W	RRP9	TFIID	TFIID-dominated
YGL228W	SHE10	TFIID	TFIID-dominated
YDR293C	SSD1	TFIID	TFIID-dominated
YGL048C	RPT6	TFIID	TFIID-dominated
YLR262C-A	TMA7	TFIID	
YEL031W	SPF1	TFIID	TFIID-dominated
YNL098C	RAS2	TFIID	TFIID-dominated
YGR204W	ADE3	CR	SAGA-dominated
YEL013W	VAC8	TFIID	TFIID-dominated
YER030W	CHZ1	TFIID	TFIID-dominated
YFL005W	SEC4	TFIID	TFIID-dominated
YOL029C	YOL029C	TFIID	TFIID-dominated
YNL157W	IGO1	TFIID	SAGA-dominated
YCL064C	CHA1	CR	TFIID-dominated
YMR125W	STO1	TFIID	TFIID-dominated
YJL061W	NUP82	TFIID	TFIID-dominated
YOR046C	DBP5	TFIID	TFIID-dominated
YJL138C	TIF2	CR	TFIID-dominated
YFR031C-A	RPL2A	TFIID	TFIID-dominated
YJR139C	HOM6	TFIID	TFIID-dominated
YOL004W	SIN3	TFIID	TFIID-dominated
YPR033C	HTS1	TFIID	TFIID-dominated
YJL140W	RPB4	TFIID	TFIID-dominated
YER112W	LSM4	TFIID	TFIID-dominated
YGL114W	YGL114W	CR	TFIID-dominated
YOR051C	ETT1	TFIID	TFIID-dominated
YML129C	COX14	TFIID	TFIID-dominated
YDR211W	GCD6	TFIID	TFIID-dominated
YKL181W	PRS1	TFIID	TFIID-dominated
YDL191W	RPL35A	TFIID	TFIID-dominated
YDR483W	KRE2	TFIID	TFIID-dominated
YJL167W	ERG20	CR	TFIID-dominated
YCR020W-B	HTL1	TFIID	
YBR279W	PAF1	TFIID	TFIID-dominated
YJL174W	KRE9	TFIID	TFIID-dominated
YJR145C	RPS4A	TFIID	TFIID-dominated
YOR260W	GCD1	TFIID	TFIID-dominated
YOR317W	FAA1	TFIID	SAGA/TFIID
YNL037C	IDH1	CR	SAGA-dominated
YER049W	TPA1	TFIID	TFIID-dominated
YBR031W	RPL4A	TFIID	TFIID-dominated
YKL016C	ATP7	TFIID	TFIID-dominated
YOR184W	SER1	CR	TFIID-dominated
YER141W	COX15	TFIID	TFIID-dominated
YLR106C	MDN1	TFIID	TFIID-dominated
YER155C	BEM2	TFIID	TFIID-dominated
YGR065C	VHT1	CR	TFIID-dominated
YDR309C	GIC2	CR	SAGA-dominated
YER110C	KAP123	TFIID	TFIID-dominated
YHR019C	DED81	TFIID	TFIID-dominated
YDR372C	VPS74	TFIID	TFIID-dominated
YBR071W	YBR071W	CR	SAGA-dominated
YDR308C	SRB7	TFIID	TFIID-dominated
YKL160W	ELF1	TFIID	TFIID-dominated
YDL132W	CDC53	TFIID	TFIID-dominated
YPR062W	FCY1	TFIID	TFIID-dominated
YOR123C	LEO1	TFIID	TFIID-dominated
YDL066W	IDP1	CR	TFIID-dominated
YBL004W	UTP20	TFIID	TFIID-dominated
YCR028C-A	RIM1	TFIID	
YNL137C	NAM9	TFIID	TFIID-dominated
YPL158C	AIM44	CR	TFIID-dominated
YLR244C	MAP1	TFIID	TFIID-dominated
YPR028W	YOP1	CR	TFIID-dominated
YNL084C	END3	TFIID	TFIID-dominated
YGR270W	YTA7	TFIID	TFIID-dominated
YOL081W	IRA2	TFIID	TFIID-dominated
YDR074W	TPS2	CR	TFIID-dominated
YBL051C	PIN4	TFIID	TFIID-dominated
YGL137W	SEC27	TFIID	TFIID-dominated
YBL047C	EDE1	TFIID	TFIID-dominated
YLR196W	PWP1	TFIID	TFIID-dominated
YDL195W	SEC31	TFIID	TFIID-dominated
YGL252C	RTG2	TFIID	TFIID-dominated
YKR066C	CCP1	CR	TFIID-dominated
YHR208W	BAT1	TFIID	TFIID-dominated
YNL307C	MCK1	TFIID	TFIID-dominated
YIR017C	MET28	CR	TFIID-dominated
YPL126W	NAN1	TFIID	TFIID-dominated
YDR529C	QCR7	TFIID	TFIID-dominated
YDL134C	PPH21	TFIID	TFIID-dominated
YLR025W	SNF7	TFIID	TFIID-dominated
YDL136W	RPL35B	TFIID	TFIID-dominated
YDR168W	CDC37	TFIID	TFIID-dominated
YJR076C	CDC11	TFIID	TFIID-dominated
YDR025W	RPS11A	TFIID	TFIID-dominated
YOR194C	TOA1	TFIID	TFIID-dominated
YMR311C	GLC8	TFIID	TFIID-dominated
YGR187C	HGH1	TFIID	TFIID-dominated
YOR014W	RTS1	TFIID	TFIID-dominated
YHR089C	GAR1	TFIID	TFIID-dominated
YLR406C	RPL31B	TFIID	no call
YPL235W	RVB2	TFIID	TFIID-dominated
YLR399C	BDF1	CR	SAGA-dominated
YPL169C	MEX67	TFIID	TFIID-dominated
YBR221C	PDB1	TFIID	TFIID-dominated
YMR195W	ICY1	CR	SAGA-dominated
YMR266W	RSN1	CR	SAGA-dominated
YFR001W	LOC1	TFIID	TFIID-dominated
YBL079W	NUP170	TFIID	no call
YDL031W	DBP10	TFIID	TFIID-dominated
YLR387C	REH1	TFIID	TFIID-dominated
YFR030W	MET10	TFIID	TFIID-dominated
YBR191W	RPL21A	TFIID	TFIID-dominated
YLR449W	FPR4	TFIID	TFIID-dominated
YGR281W	YOR1	CR	SAGA-dominated
YDR404C	RPB7	TFIID	TFIID-dominated
YPL063W	TIM50	TFIID	TFIID-dominated
YML108W	YML108W	TFIID	TFIID-dominated
YHR205W	SCH9	TFIID	TFIID-dominated
YDL153C	SAS10	TFIID	TFIID-dominated
YLR452C	SST2	CR	TFIID-dominated
YJL158C	CIS3	CR	SAGA/TFIID
YLL018C	DPS1	TFIID	TFIID-dominated
YDR069C	DOA4	CR	TFIID-dominated
YBR039W	ATP3	TFIID	TFIID-dominated
YGL167C	PMR1	TFIID	no call
YHR068W	DYS1	TFIID	TFIID-dominated
YBR207W	FTH1	TFIID	TFIID-dominated
YER125W	RSP5	TFIID	TFIID-dominated
YDR303C	RSC3	TFIID	TFIID-dominated
YGL092W	NUP145	TFIID	TFIID-dominated
YJL123C	MTC1	TFIID	TFIID-dominated
YOL097C	WRS1	TFIID	TFIID-dominated
YOR362C	PRE10	TFIID	TFIID-dominated
YKL007W	CAP1	TFIID	TFIID-dominated
YHR066W	SSF1	TFIID	TFIID-dominated
YGR119C	NUP57	TFIID	TFIID-dominated
YDR324C	UTP4	TFIID	TFIID-dominated
YGL202W	ARO8	TFIID	TFIID-dominated
YDR322C-A	TIM11	TFIID	
YKL195W	MIA40	TFIID	TFIID-dominated
YDR052C	DBF4	TFIID	TFIID-dominated
YDR245W	MNN10	TFIID	TFIID-dominated
YML008C	ERG6	CR	TFIID-dominated
YMR083W	ADH3	TFIID	TFIID-dominated
YBR172C	SMY2	TFIID	TFIID-dominated
YJR137C	MET5	TFIID	TFIID-dominated
YML053C	YML053C	TFIID	TFIID-dominated
YDL100C	GET3	TFIID	TFIID-dominated
YLR208W	SEC13	TFIID	TFIID-dominated
YDR145W	TAF12	TFIID	TFIID-dominated
YDR412W	RRP17	TFIID	TFIID-dominated
YHR098C	SFB3	TFIID	TFIID-dominated
YGR284C	ERV29	TFIID	TFIID-dominated
YML117W	NAB6	TFIID	TFIID-dominated
YIL109C	SEC24	TFIID	TFIID-dominated
YOR182C	RPS30B	TFIID	TFIID-dominated
YML072C	TCB3	TFIID	TFIID-dominated
YDL205C	HEM3	CR	TFIID-dominated
YDR208W	MSS4	TFIID	TFIID-dominated
YLR403W	SFP1	TFIID	TFIID-dominated
YNL302C	RPS19B	TFIID	TFIID-dominated
YOR058C	ASE1	TFIID	TFIID-dominated
YDR251W	PAM1	TFIID	TFIID-dominated
YDR361C	BCP1	TFIID	TFIID-dominated
YDR170C	SEC7	TFIID	TFIID-dominated
YHR023W	MYO1	TFIID	TFIID-dominated
YPL218W	SAR1	TFIID	TFIID-dominated
YLR309C	IMH1	TFIID	TFIID-dominated
YHR010W	RPL27A	TFIID	TFIID-dominated
YJR073C	OPI3	CR	TFIID-dominated
YLR192C	HCR1	TFIID	TFIID-dominated
YDL004W	ATP16	TFIID	TFIID-dominated
YJR002W	MPP10	TFIID	TFIID-dominated
YMR033W	ARP9	TFIID	TFIID-dominated
YNL247W	YNL247W	TFIID	TFIID-dominated
YOR047C	STD1	CR	TFIID-dominated
YGL026C	TRP5	TFIID	TFIID-dominated
YCR002C	CDC10	TFIID	TFIID-dominated
YLR435W	TSR2	TFIID	TFIID-dominated
YGR189C	CRH1	CR	SAGA-dominated
YDL015C	TSC13	TFIID	TFIID-dominated
YDR457W	TOM1	TFIID	TFIID-dominated
YKL135C	APL2	TFIID	TFIID-dominated
YKL142W	MRP8	TFIID	TFIID-dominated
YJR065C	ARP3	TFIID	TFIID-dominated
YKL086W	SRX1	CR	no call
YDL051W	LHP1	TFIID	TFIID-dominated
YLR129W	DIP2	TFIID	TFIID-dominated
YKL014C	URB1	TFIID	TFIID-dominated
YJL039C	NUP192	TFIID	TFIID-dominated
YJL122W	ALB1	TFIID	TFIID-dominated
YGL070C	RPB9	TFIID	TFIID-dominated
YLL051C	FRE6	TFIID	TFIID-dominated
YER180C-A	SLO1	TFIID	
YER042W	MXR1	CR	TFIID-dominated
YDL161W	ENT1	TFIID	TFIID-dominated
YKL077W	YKL077W	TFIID	TFIID-dominated
YLR170C	APS1	TFIID	TFIID-dominated
YMR216C	SKY1	TFIID	TFIID-dominated
YLR223C	IFH1	TFIID	TFIID-dominated
YNL271C	BNI1	TFIID	TFIID-dominated
YGL225W	VRG4	TFIID	TFIID-dominated
YLR206W	ENT2	TFIID	TFIID-dominated
YER117W	RPL23B	TFIID	TFIID-dominated
YNR035C	ARC35	TFIID	TFIID-dominated
YGL117W	YGL117W	CR	SAGA-dominated
YOR187W	TUF1	TFIID	TFIID-dominated
YMR109W	MYO5	TFIID	TFIID-dominated
YNL213C	RRG9	TFIID	TFIID-dominated
YNL055C	POR1	CR	TFIID-dominated
YOL038W	PRE6	TFIID	TFIID-dominated
YER161C	SPT2	TFIID	TFIID-dominated
YJL179W	PFD1	TFIID	TFIID-dominated
YLR225C	YLR225C	CR	no call
YLL048C	YBT1	TFIID	TFIID-dominated
YDR300C	PRO1	TFIID	TFIID-dominated
YPR133C	SPN1	TFIID	TFIID-dominated
YHL047C	ARN2	CR	TFIID-dominated
YML048W	GSF2	CR	TFIID-dominated
YOL076W	MDM20	TFIID	TFIID-dominated
YPR173C	VPS4	TFIID	TFIID-dominated
YIL128W	MET18	TFIID	TFIID-dominated
YLR378C	SEC61	TFIID	TFIID-dominated
YKR001C	VPS1	TFIID	TFIID-dominated
YHR081W	LRP1	TFIID	TFIID-dominated
YNL175C	NOP13	TFIID	TFIID-dominated
YFR009W	GCN20	TFIID	TFIID-dominated
YDL022W	GPD1	CR	SAGA-dominated
YGL068W	MNP1	TFIID	TFIID-dominated
YBR112C	CYC8	TFIID	TFIID-dominated
YMR080C	NAM7	TFIID	TFIID-dominated
YGR214W	RPS0A	TFIID	TFIID-dominated
YPR029C	APL4	TFIID	TFIID-dominated
YER086W	ILV1	TFIID	TFIID-dominated
YMR200W	ROT1	TFIID	TFIID-dominated
YDR432W	NPL3	TFIID	TFIID-dominated
YCR035C	RRP43	TFIID	TFIID-dominated
YMR031C	EIS1	CR	TFIID-dominated
YLR250W	SSP120	TFIID	TFIID-dominated
YKR035W-A	DID2	TFIID	
YIL027C	EMC5	TFIID	TFIID-dominated
YHL040C	ARN1	CR	TFIID-dominated
YCR016W	YCR016W	TFIID	TFIID-dominated
YGR271C-A	EFG1	TFIID	
YDL121C	YDL121C	TFIID	TFIID-dominated
YPR148C	YPR148C	TFIID	TFIID-dominated
YLR330W	CHS5	TFIID	TFIID-dominated
YLR222C	UTP13	TFIID	TFIID-dominated
YDR510W	SMT3	TFIID	TFIID-dominated
YIL040W	APQ12	TFIID	TFIID-dominated
YDL002C	NHP10	TFIID	TFIID-dominated
YNR001C	CIT1	CR	SAGA-dominated
YDL099W	BUG1	TFIID	TFIID-dominated
YDR339C	FCF1	TFIID	TFIID-dominated
YMR043W	MCM1	CR	TFIID-dominated
YML069W	POB3	TFIID	TFIID-dominated
YLR168C	UPS2	CR	SAGA-dominated
YML010W	SPT5	TFIID	TFIID-dominated
YLL009C	COX17	TFIID	TFIID-dominated
YEL015W	EDC3	TFIID	TFIID-dominated
YLL008W	DRS1	TFIID	TFIID-dominated
YBR173C	UMP1	TFIID	TFIID-dominated
YIL130W	ASG1	TFIID	TFIID-dominated
YGR083C	GCD2	TFIID	no call
YOR028C	CIN5	CR	SAGA/TFIID
YER138W-A	YER138W-A	CR	
YIL074C	SER33	TFIID	TFIID-dominated
YJR064W	CCT5	TFIID	TFIID-dominated
YOR239W	ABP140	TFIID	TFIID-dominated
YMR049C	ERB1	TFIID	TFIID-dominated
YNL186W	UBP10	TFIID	TFIID-dominated
YGR105W	VMA21	TFIID	TFIID-dominated
YPL010W	RET3	TFIID	TFIID-dominated
YPR112C	MRD1	TFIID	TFIID-dominated
YBR248C	HIS7	TFIID	SAGA-dominated
YNL077W	APJ1	TFIID	no call
YOR020W-A	YOR020W-A	TFIID	
YPL032C	SVL3	TFIID	TFIID-dominated
YDL225W	SHS1	TFIID	TFIID-dominated
YGR180C	RNR4	CR	SAGA/TFIID
YKL212W	SAC1	TFIID	TFIID-dominated
YMR290C	HAS1	TFIID	TFIID-dominated
YLR256W	HAP1	CR	TFIID-dominated
YJR090C	GRR1	TFIID	TFIID-dominated
YBR048W	RPS11B	CR	TFIID-dominated
YHR088W	RPF1	TFIID	TFIID-dominated
YHL036W	MUP3	CR	TFIID-dominated
YIL036W	CST6	TFIID	TFIID-dominated
YBL105C	PKC1	TFIID	no call
YJR044C	VPS55	TFIID	TFIID-dominated
YNL176C	TDA7	CR	TFIID-dominated
YOR158W	PET123	TFIID	TFIID-dominated
YKL175W	ZRT3	TFIID	TFIID-dominated
YGL086W	MAD1	TFIID	TFIID-dominated
YER105C	NUP157	TFIID	TFIID-dominated
YEL022W	GEA2	TFIID	TFIID-dominated
YBR017C	KAP104	TFIID	no call
YPR144C	NOC4	TFIID	TFIID-dominated
YBR171W	SEC66	TFIID	TFIID-dominated
YDL088C	ASM4	TFIID	TFIID-dominated
YEL002C	WBP1	TFIID	TFIID-dominated
YHR039C-A	VMA10	TFIID	
YNL123W	NMA111	TFIID	TFIID-dominated
YIL144W	NDC80	TFIID	TFIID-dominated
YFL034C-A	RPL22B	TFIID	TFIID-dominated
YNL177C	MRPL22	TFIID	TFIID-dominated
YLR153C	ACS2	CR	SAGA-dominated
YPR048W	TAH18	TFIID	TFIID-dominated
YPL217C	BMS1	TFIID	TFIID-dominated
YLR200W	YKE2	TFIID	TFIID-dominated
YJL076W	NET1	TFIID	no call
YER056C-A	RPL34A	TFIID	TFIID-dominated
YLR163C	MAS1	TFIID	TFIID-dominated
YLR022C	SDO1	TFIID	TFIID-dominated
YER068W	MOT2	TFIID	TFIID-dominated
YPR060C	ARO7	TFIID	TFIID-dominated
YHL020C	OPI1	TFIID	TFIID-dominated
YDL005C	MED2	TFIID	TFIID-dominated
YIL105C	SLM1	TFIID	TFIID-dominated
YMR010W	YMR010W	TFIID	TFIID-dominated
YAL029C	MYO4	TFIID	TFIID-dominated
YJL026W	RNR2	CR	SAGA/TFIID
YGR009C	SEC9	TFIID	TFIID-dominated
YMR090W	YMR090W	CR	SAGA-dominated
YOL028C	YAP7	TFIID	TFIID-dominated
YIL076W	SEC28	TFIID	TFIID-dominated
YBL058W	SHP1	TFIID	TFIID-dominated
YBR047W	FMP23	TFIID	no call
YBR069C	TAT1	CR	TFIID-dominated
YOL036W	YOL036W	TFIID	TFIID-dominated
YER050C	RSM18	TFIID	TFIID-dominated
YCR084C	TUP1	TFIID	TFIID-dominated
YOL064C	MET22	TFIID	TFIID-dominated
YLR034C	SMF3	CR	TFIID-dominated
YPR101W	SNT309	TFIID	TFIID-dominated
YLR229C	CDC42	TFIID	TFIID-dominated
YJR070C	LIA1	TFIID	TFIID-dominated
YPR168W	NUT2	TFIID	TFIID-dominated
YLR287C	YLR287C	TFIID	TFIID-dominated
YKL032C	IXR1	TFIID	TFIID-dominated
YGR233C	PHO81	TFIID	TFIID-dominated
YDR354W	TRP4	TFIID	TFIID-dominated
YJR004C	SAG1	CR	SAGA/TFIID
YKR016W	MIC60	TFIID	TFIID-dominated
YGL071W	AFT1	TFIID	TFIID-dominated
YLL039C	UBI4	CR	no call
YER094C	PUP3	TFIID	TFIID-dominated
YDL065C	PEX19	TFIID	TFIID-dominated
YOR141C	ARP8	TFIID	TFIID-dominated
YLL027W	ISA1	CR	SAGA-dominated
YER120W	SCS2	TFIID	TFIID-dominated
YOR045W	TOM6	TFIID	TFIID-dominated
YBR046C	ZTA1	CR	TFIID-dominated
YKR068C	BET3	TFIID	TFIID-dominated
YDL155W	CLB3	TFIID	TFIID-dominated
YOR116C	RPO31	TFIID	TFIID-dominated
YJL166W	QCR8	TFIID	TFIID-dominated
YDL106C	PHO2	TFIID	TFIID-dominated
YER151C	UBP3	TFIID	TFIID-dominated
YDR525W-A	SNA2	TFIID	
YBR164C	ARL1	TFIID	TFIID-dominated
YDR129C	SAC6	TFIID	TFIID-dominated
YDL190C	UFD2	TFIID	TFIID-dominated
YDR449C	UTP6	TFIID	TFIID-dominated
YMR091C	NPL6	TFIID	TFIID-dominated
YDR356W	SPC110	TFIID	TFIID-dominated
YDR266C	HEL2	TFIID	TFIID-dominated
YEL055C	POL5	TFIID	TFIID-dominated
YGL120C	PRP43	TFIID	TFIID-dominated
YMR014W	BUD22	TFIID	TFIID-dominated
YKR043C	SHB17	TFIID	TFIID-dominated
YDR292C	SRP101	TFIID	TFIID-dominated
YDR165W	TRM82	TFIID	TFIID-dominated
YLR027C	AAT2	CR	SAGA-dominated
YDR188W	CCT6	TFIID	TFIID-dominated
